A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
0.5372338486,0.5372338486,12.89361237,9.629337277,8.826892504,7.222002958,4.927851737,4.003879537,17.77412552,19.98805625,2.792804988,0.1966766442,0.000391853595,0.000391853595,0.000391853595,0.00118915038,0.1587081595,0.0439994781,0,0
0.5372338486,0.5372338486,33.30849861,24.07334319,23.67212081,21.66600887,14.47556448,10.16369421,17.19556647,23.51027094,10.65538772,4.075113865,0.1399437396,0.03747377352,0.004198345319,0.00235941085,0.1617537006,0.03916548888,0.00E+00,1
0.5372338486,0.5372338486,29.54786167,21.26478649,21.26478649,20.06111933,13.24360154,9.547712741,12.46353124,15.4915487,7.658367733,2.586209899,0.08436056715,0.02735184276,0.0007683462881,0.0004664589373,0.1472450301,0.03497375664,0,0
0.5372338486,0.5372338486,23.63828934,17.65378501,17.65378501,16.45011785,12.01163861,8.315749807,5.551919193,7.197977174,0.3446521251,-8.44E-17,0,0,0,3.55E-17,0.1450059663,0.03764942116,0.00E+00,1
0.5372338486,0.5372338486,23.63828934,17.25256262,16.45011785,16.45011785,11.39565714,8.931731274,8.733508438,5.824786446,1.936466053,0.2718745862,0,0,0,3.75E-17,0.1532005316,0.03861493937,0.00E+00,1
0.5372338486,-3.95E-15,15.57978161,11.63544921,11.63544921,10.83300444,7.69976834,4.927851737,4.757963433,7.654099694,1.37186379,-3.36E-16,0,0,0,4.04E-17,0.1650560837,0.042525151,0.00E+00,1
0.5372338486,0.5372338486,3.223403091,2.407334319,2.407334319,2.407334319,0.6159814672,0.3079907336,6.369140266,7.97656843,1.027671894,0.1262959929,0,0,0,4.30E-17,0.1755902559,0.02165362713,1,0
0.5372338486,0.5372338486,11.81914467,8.425670117,7.222002958,6.018335798,4.003879537,3.079907336,20.54049737,19.77435952,5.165920318,0.4168703343,0,0,0,3.73E-17,0.1523602352,0.03558402264,0.00E+00,1
0.5372338486,0.5372338486,42.44147404,30.09167899,29.28923422,28.48678944,19.71140695,14.47556448,6.819464297,8.444018637,0.734546975,0.08379868718,0.002347908832,-5.75E-19,-1.41E-34,4.19E-17,0.1709107374,0.03325050925,0.00E+00,1
0.5372338486,0.5372338486,24.17552318,18.05500739,18.05500739,17.25256262,12.31962934,9.855703475,25.98160581,42.81262919,14.5238645,1.658185209,0,0,0,4.07E-17,0.1663555267,0.03423887816,0,0
