A,B,C,D,E
30,62,3,1,yes
30,65,0,1,yes
31,59,2,1,yes
31,65,4,1,yes
33,58,10,1,yes
33,60,0,1,yes
34,59,0,2,no
34,66,9,2,no
34,58,30,1,yes
34,60,1,1,yes
34,61,10,1,yes
34,67,7,1,yes
34,60,0,1,yes
35,64,13,1,yes
35,63,0,1,yes
36,60,1,1,yes
36,69,0,1,yes
37,60,0,1,yes
37,63,0,1,yes
37,58,0,1,yes
37,59,6,1,yes
37,60,15,1,yes
37,63,0,1,yes
38,69,21,2,no
38,59,2,1,yes
38,60,0,1,yes
38,60,0,1,yes
38,62,3,1,yes
38,64,1,1,yes
38,66,0,1,yes
38,66,11,1,yes
38,60,1,1,yes
38,67,5,1,yes
39,66,0,2,no
39,63,0,1,yes
39,67,0,1,yes
39,58,0,1,yes
39,59,2,1,yes
39,63,4,1,yes
40,58,2,1,yes
40,58,0,1,yes
40,65,0,1,yes
41,60,23,2,no
41,64,0,2,no
41,67,0,2,no
41,58,0,1,yes
41,59,8,1,yes
41,59,0,1,yes
41,64,0,1,yes
41,69,8,1,yes
41,65,0,1,yes
41,65,0,1,yes
42,69,1,2,no
42,59,0,2,no
42,58,0,1,yes
42,60,1,1,yes
42,59,2,1,yes
42,61,4,1,yes
42,62,20,1,yes
42,65,0,1,yes
42,63,1,1,yes
43,58,52,2,no
43,59,2,2,no
43,64,0,2,no
43,64,0,2,no
43,63,14,1,yes
43,64,2,1,yes
43,64,3,1,yes
43,60,0,1,yes
43,63,2,1,yes
43,65,0,1,yes
43,66,4,1,yes
44,64,6,2,no
44,58,9,2,no
44,63,19,2,no
44,61,0,1,yes
44,63,1,1,yes
44,61,0,1,yes
44,67,16,1,yes
45,65,6,2,no
45,66,0,2,no
45,67,1,2,no
45,60,0,1,yes
45,67,0,1,yes
45,59,14,1,yes
45,64,0,1,yes
45,68,0,1,yes
45,67,1,1,yes
46,58,2,2,no
46,69,3,2,no
46,62,5,2,no
46,65,20,2,no
46,62,0,1,yes
46,58,3,1,yes
46,63,0,1,yes
47,63,23,2,no
47,62,0,2,no
47,65,0,2,no
47,61,0,1,yes
47,63,6,1,yes
47,66,0,1,yes
47,67,0,1,yes
47,58,3,1,yes
47,60,4,1,yes
47,68,4,1,yes
47,66,12,1,yes
48,58,11,2,no
48,58,11,2,no
48,67,7,2,no
48,61,8,1,yes
48,62,2,1,yes
48,64,0,1,yes
48,66,0,1,yes
49,63,0,2,no
49,64,10,2,no
49,61,1,1,yes
49,62,0,1,yes
49,66,0,1,yes
49,60,1,1,yes
49,62,1,1,yes
49,63,3,1,yes
49,61,0,1,yes
49,67,1,1,yes
50,63,13,2,no
50,64,0,2,no
50,59,0,1,yes
50,61,6,1,yes
50,61,0,1,yes
50,63,1,1,yes
50,58,1,1,yes
50,59,2,1,yes
50,61,0,1,yes
50,64,0,1,yes
50,65,4,1,yes
50,66,1,1,yes
51,59,13,2,no
51,59,3,2,no
51,64,7,1,yes
51,59,1,1,yes
51,65,0,1,yes
51,66,1,1,yes
52,69,3,2,no
52,59,2,2,no
52,62,3,2,no
52,66,4,2,no
52,61,0,1,yes
52,63,4,1,yes
52,69,0,1,yes
52,60,4,1,yes
52,60,5,1,yes
52,62,0,1,yes
52,62,1,1,yes
52,64,0,1,yes
52,65,0,1,yes
52,68,0,1,yes
53,58,4,2,no
53,65,1,2,no
53,59,3,2,no
53,60,9,2,no
53,63,24,2,no
53,65,12,2,no
53,58,1,1,yes
53,60,1,1,yes
53,60,2,1,yes
53,61,1,1,yes
53,63,0,1,yes
54,60,11,2,no
54,65,23,2,no
54,65,5,2,no
54,68,7,2,no
54,59,7,1,yes
54,60,3,1,yes
54,66,0,1,yes
54,67,46,1,yes
54,62,0,1,yes
54,69,7,1,yes
54,63,19,1,yes
54,58,1,1,yes
54,62,0,1,yes
55,63,6,2,no
55,68,15,2,no
55,58,1,1,yes
55,58,0,1,yes
55,58,1,1,yes
55,66,18,1,yes
55,66,0,1,yes
55,69,3,1,yes
55,69,22,1,yes
55,67,1,1,yes
56,65,9,2,no
56,66,3,2,no
56,60,0,1,yes
56,66,2,1,yes
56,66,1,1,yes
56,67,0,1,yes
56,60,0,1,yes
57,61,5,2,no
57,62,14,2,no
57,64,1,2,no
57,64,9,1,yes
57,69,0,1,yes
57,61,0,1,yes
57,62,0,1,yes
57,63,0,1,yes
57,64,0,1,yes
57,64,0,1,yes
57,67,0,1,yes
58,59,0,1,yes
58,60,3,1,yes
58,61,1,1,yes
58,67,0,1,yes
58,58,0,1,yes
58,58,3,1,yes
58,61,2,1,yes
59,62,35,2,no
59,60,0,1,yes
59,63,0,1,yes
59,64,1,1,yes
59,64,4,1,yes
59,64,0,1,yes
59,64,7,1,yes
59,67,3,1,yes
60,59,17,2,no
60,65,0,2,no
60,61,1,1,yes
60,67,2,1,yes
60,61,25,1,yes
60,64,0,1,yes
61,62,5,2,no
61,65,0,2,no
61,68,1,2,no
61,59,0,1,yes
61,59,0,1,yes
61,64,0,1,yes
61,65,8,1,yes
61,68,0,1,yes
61,59,0,1,yes
62,59,13,2,no
62,58,0,2,no
62,65,19,2,no
62,62,6,1,yes
62,66,0,1,yes
62,66,0,1,yes
62,58,0,1,yes
63,60,1,2,no
63,61,0,1,yes
63,62,0,1,yes
63,63,0,1,yes
63,63,0,1,yes
63,66,0,1,yes
63,61,9,1,yes
63,61,28,1,yes
64,58,0,1,yes
64,65,22,1,yes
64,66,0,1,yes
64,61,0,1,yes
64,68,0,1,yes
65,58,0,2,no
65,61,2,2,no
65,62,22,2,no
65,66,15,2,no
65,58,0,1,yes
65,64,0,1,yes
65,67,0,1,yes
65,59,2,1,yes
65,64,0,1,yes
65,67,1,1,yes
66,58,0,2,no
66,61,13,2,no
66,58,0,1,yes
66,58,1,1,yes
66,68,0,1,yes
67,64,8,2,no
67,63,1,2,no
67,66,0,1,yes
67,66,0,1,yes
67,61,0,1,yes
67,65,0,1,yes
68,67,0,1,yes
68,68,0,1,yes
69,67,8,2,no
69,60,0,1,yes
69,65,0,1,yes
69,66,0,1,yes
70,58,0,2,no
70,58,4,2,no
70,66,14,1,yes
70,67,0,1,yes
70,68,0,1,yes
70,59,8,1,yes
70,63,0,1,yes
71,68,2,1,yes
72,63,0,2,no
72,58,0,1,yes
72,64,0,1,yes
72,67,3,1,yes
73,62,0,1,yes
73,68,0,1,yes
74,65,3,2,no
74,63,0,1,yes
75,62,1,1,yes
76,67,0,1,yes
77,65,3,1,yes
78,65,1,2,no
83,58,2,2,no
