A,B,C,D,E
3.00E-16,1.224489796,1.224489796,1.354166667,1
0.06756756757,1.530612245,1.530612245,1.71875,1
0.1351351351,1.93877551,1.93877551,2.239583333,1
0.06756756757,2.346938776,2.346938776,3.90625,0
0.2702702703,0.306122449,0.306122449,0.1041666667,0
0.1351351351,0.612244898,0.612244898,0.625,1
0.06756756757,1.12244898,1.12244898,1.71875,0
0.1351351351,0.8163265306,0.8163265306,1.041666667,1
0.3378378378,4.591836735,4.591836735,5,1
0.2702702703,2.244897959,2.244897959,2.916666667,0
5.00E-17,0.2040816327,0.2040816327,0.1041666667,0
0.1351351351,0.9183673469,0.9183673469,1.354166667,1
0.06756756757,1.224489796,1.224489796,2.34375,0
0.1351351351,0.5102040816,0.5102040816,0.6770833333,1
0.1351351351,0.4081632653,0.4081632653,0.46875,1
0.1351351351,1.326530612,1.326530612,2.395833333,1
0.1351351351,1.428571429,1.428571429,2.447916667,1
0.1351351351,0.5102040816,0.5102040816,0.6770833333,1
0.1351351351,0.2040816327,0.2040816327,0.1041666667,1
0.1351351351,0.2040816327,0.2040816327,0.1041666667,1
0.2702702703,1.020408163,1.020408163,1.354166667,0
0.1351351351,0.5102040816,0.5102040816,0.7291666667,1
0.1351351351,0.5102040816,0.5102040816,0.7291666667,1
0.6081081081,0.8163265306,0.8163265306,0.7291666667,0
0.2702702703,1.326530612,1.326530612,1.979166667,0
0.2702702703,0.5102040816,0.5102040816,0.625,0
0.2702702703,1.12244898,1.12244898,1.666666667,1
0.2702702703,0.4081632653,0.4081632653,0.46875,1
0.2702702703,0.7142857143,0.7142857143,0.9895833333,0
0.06756756757,1.326530612,1.326530612,2.916666667,0
0.2702702703,0.9183673469,0.9183673469,1.354166667,1
0.2702702703,0.9183673469,0.9183673469,1.354166667,1
0.2702702703,0.8163265306,0.8163265306,1.25,1
0.1351351351,1.530612245,1.530612245,3.229166667,0
0.1351351351,0.7142857143,0.7142857143,1.354166667,1
0.1351351351,1.12244898,1.12244898,2.34375,1
0.2702702703,0.5102040816,0.5102040816,0.7291666667,1
0.1351351351,1.326530612,1.326530612,2.864583333,1
0.2702702703,0.612244898,0.612244898,1.041666667,1
0.1351351351,1.224489796,1.224489796,2.65625,1
0.1351351351,0.4081632653,0.4081632653,0.7291666667,0
0.1351351351,0.4081632653,0.4081632653,0.7291666667,1
0.1351351351,0.4081632653,0.4081632653,0.7291666667,0
0.2702702703,1.93877551,1.93877551,3.489583333,1
0.2702702703,0.8163265306,0.8163265306,1.354166667,1
0.1351351351,0.8163265306,0.8163265306,1.770833333,0
0.1351351351,0.1020408163,0.1020408163,2.50E-17,0
0.1351351351,0.1020408163,0.1020408163,2.50E-17,0
0.1351351351,0.1020408163,0.1020408163,2.50E-17,0
0.1351351351,1.020408163,1.020408163,2.291666667,0
0.1351351351,1.020408163,1.020408163,2.291666667,1
0.1351351351,0.5102040816,0.5102040816,1.041666667,0
0.1351351351,1.12244898,1.12244898,2.604166667,0
0.2702702703,0.4081632653,0.4081632653,0.625,1
0.2702702703,1.836734694,1.836734694,3.489583333,1
0.2702702703,0.7142857143,0.7142857143,1.25,1
0.1351351351,0.612244898,0.612244898,1.354166667,1
0.1351351351,1.530612245,1.530612245,4.114583333,0
0.2027027027,0.5102040816,0.5102040816,0.9895833333,0
0.1351351351,0.612244898,0.612244898,1.40625,0
0.1351351351,0.7142857143,0.7142857143,1.71875,1
0.1351351351,0.9183673469,0.9183673469,2.447916667,0
0.2702702703,0.4081632653,0.4081632653,0.7291666667,1
0.1351351351,0.2040816327,0.2040816327,0.3645833333,1
0.2027027027,1.530612245,1.530612245,3.75,0
0.1351351351,0.306122449,0.306122449,0.625,1
2.50E-17,0.1020408163,0.1020408163,0.1041666667,0
0.2702702703,0.612244898,0.612244898,1.197916667,0
0.06756756757,0.8163265306,0.8163265306,2.552083333,0
0.1351351351,0.306122449,0.306122449,0.7291666667,0
0.1351351351,0.306122449,0.306122449,0.7291666667,0
0.2702702703,1.632653061,1.632653061,3.59375,1
0.1351351351,0.1020408163,0.1020408163,0.1041666667,0
0.1351351351,0.1020408163,0.1020408163,0.1041666667,1
0.1351351351,0.1020408163,0.1020408163,0.1041666667,1
