A,B,C,D,E
2.23E-15,9.088696882,2272.174221,26.004914,1
0.7527675277,11.18608847,2796.522118,32.50614251,1
1.505535055,13.98261059,3495.652647,41.79361179,1
0.7527675277,16.77913271,4194.783176,71.51351351,0
3.011070111,2.796522118,699.1305294,3.714987715,0
1.505535055,4.893913706,1223.478426,13.002457,1
0.7527675277,8.389566353,2097.391588,32.50614251,0
1.505535055,6.292174764,1573.043691,20.43243243,1
3.763837638,32.16000435,8040.001088,91.01719902,1
3.011070111,16.08000218,4020.000544,53.86732187,0
5.14E-16,2.097391588,524.347897,3.714987715,0
1.505535055,6.991305294,1747.826323,26.004914,1
0.7527675277,9.088696882,2272.174221,43.65110565,0
1.505535055,4.194783176,1048.695794,13.93120393,1
1.505535055,3.495652647,873.9131617,10.21621622,1
1.505535055,9.787827411,2446.956853,44.57985258,1
1.505535055,10.48695794,2621.739485,45.50859951,1
1.505535055,4.194783176,1048.695794,13.93120393,1
1.505535055,2.097391588,524.347897,3.714987715,1
1.505535055,2.097391588,524.347897,3.714987715,1
3.011070111,7.690435823,1922.608956,26.004914,0
1.505535055,4.194783176,1048.695794,14.85995086,1
1.505535055,4.194783176,1048.695794,14.85995086,1
6.774907749,6.292174764,1573.043691,14.85995086,0
3.011070111,9.787827411,2446.956853,37.14987715,0
3.011070111,4.194783176,1048.695794,13.002457,0
3.011070111,8.389566353,2097.391588,31.57739558,1
3.011070111,3.495652647,873.9131617,10.21621622,1
3.011070111,5.593044235,1398.261059,19.5036855,0
0.7527675277,9.787827411,2446.956853,53.86732187,0
3.011070111,6.991305294,1747.826323,26.004914,1
3.011070111,6.991305294,1747.826323,26.004914,1
3.011070111,6.292174764,1573.043691,24.14742015,1
1.505535055,11.18608847,2796.522118,59.43980344,0
1.505535055,5.593044235,1398.261059,26.004914,1
1.505535055,8.389566353,2097.391588,43.65110565,1
3.011070111,4.194783176,1048.695794,14.85995086,1
1.505535055,9.787827411,2446.956853,52.93857494,1
3.011070111,4.893913706,1223.478426,20.43243243,1
1.505535055,9.088696882,2272.174221,49.22358722,1
1.505535055,3.495652647,873.9131617,14.85995086,0
1.505535055,3.495652647,873.9131617,14.85995086,1
1.505535055,3.495652647,873.9131617,14.85995086,0
3.011070111,13.98261059,3495.652647,64.08353808,1
3.011070111,6.292174764,1573.043691,26.004914,1
1.505535055,6.292174764,1573.043691,33.43488943,0
1.505535055,1.398261059,349.5652647,1.857493857,0
1.505535055,1.398261059,349.5652647,1.857493857,0
1.505535055,1.398261059,349.5652647,1.857493857,0
1.505535055,7.690435823,1922.608956,42.72235872,0
1.505535055,7.690435823,1922.608956,42.72235872,1
1.505535055,4.194783176,1048.695794,20.43243243,0
1.505535055,8.389566353,2097.391588,48.29484029,0
3.011070111,3.495652647,873.9131617,13.002457,1
3.011070111,13.28348006,3320.870015,64.08353808,1
3.011070111,5.593044235,1398.261059,24.14742015,1
1.505535055,4.893913706,1223.478426,26.004914,1
1.505535055,11.18608847,2796.522118,75.22850123,0
2.258302583,4.194783176,1048.695794,19.5036855,0
1.505535055,4.893913706,1223.478426,26.93366093,0
1.505535055,5.593044235,1398.261059,32.50614251,1
1.505535055,6.991305294,1747.826323,45.50859951,0
3.011070111,3.495652647,873.9131617,14.85995086,1
1.505535055,2.097391588,524.347897,8.358722359,1
2.258302583,11.18608847,2796.522118,68.72727273,0
1.505535055,2.796522118,699.1305294,13.002457,1
3.42E-16,1.398261059,349.5652647,3.714987715,0
3.011070111,4.893913706,1223.478426,23.21867322,0
0.7527675277,6.292174764,1573.043691,47.36609337,0
1.505535055,2.796522118,699.1305294,14.85995086,0
1.505535055,2.796522118,699.1305294,14.85995086,0
3.011070111,11.885219,2971.30475,65.94103194,1
1.505535055,1.398261059,349.5652647,3.714987715,0
1.505535055,1.398261059,349.5652647,3.714987715,1
1.505535055,1.398261059,349.5652647,3.714987715,1
1.505535055,2.796522118,699.1305294,14.85995086,1
1.505535055,1.398261059,349.5652647,3.714987715,0
1.505535055,1.398261059,349.5652647,3.714987715,0
1.505535055,1.398261059,349.5652647,3.714987715,0
3.011070111,4.194783176,1048.695794,21.36117936,1
1.505535055,2.796522118,699.1305294,14.85995086,0
1.505535055,2.796522118,699.1305294,14.85995086,0
1.505535055,2.796522118,699.1305294,14.85995086,0
1.505535055,4.194783176,1048.695794,26.004914,1
1.505535055,4.194783176,1048.695794,26.004914,0
3.011070111,1.398261059,349.5652647,3.714987715,0
3.011070111,1.398261059,349.5652647,3.714987715,0
3.011070111,1.398261059,349.5652647,3.714987715,0
1.505535055,4.893913706,1223.478426,32.50614251,1
3.011070111,1.398261059,349.5652647,3.714987715,1
3.011070111,1.398261059,349.5652647,3.714987715,0
3.011070111,1.398261059,349.5652647,3.714987715,0
3.011070111,1.398261059,349.5652647,3.714987715,0
9.033210332,7.690435823,1922.608956,21.36117936,0
3.011070111,4.893913706,1223.478426,26.004914,0
2.258302583,11.885219,2971.30475,79.87223587,0
3.011070111,6.292174764,1573.043691,35.29238329,1
3.011070111,2.796522118,699.1305294,13.002457,1
3.763837638,4.893913706,1223.478426,24.14742015,1
3.011070111,5.593044235,1398.261059,31.57739558,1
1.505535055,9.088696882,2272.174221,70.58476658,1
3.011070111,6.292174764,1573.043691,37.14987715,0
1.505535055,3.495652647,873.9131617,24.14742015,0
1.505535055,3.495652647,873.9131617,24.14742015,0
4.516605166,11.885219,2971.30475,65.01228501,0
1.37E-15,5.593044235,1398.261059,54.7960688,0
2.258302583,3.495652647,873.9131617,24.14742015,0
1.505535055,2.097391588,524.347897,13.002457,0
1.505535055,6.991305294,1747.826323,59.43980344,0
3.011070111,3.495652647,873.9131617,21.36117936,1
3.011070111,6.292174764,1573.043691,42.72235872,0
3.011070111,3.495652647,873.9131617,21.36117936,0
3.011070111,5.593044235,1398.261059,37.14987715,1
1.505535055,8.389566353,2097.391588,76.15724816,0
8.280442804,16.77913271,4194.783176,59.43980344,0
1.505535055,4.893913706,1223.478426,42.72235872,1
3.011070111,7.690435823,1922.608956,56.65356265,0
0.7527675277,4.893913706,1223.478426,52.93857494,0
1.505535055,7.690435823,1922.608956,73.37100737,1
1.505535055,2.097391588,524.347897,14.85995086,1
3.011070111,3.495652647,873.9131617,24.14742015,1
1.505535055,4.194783176,1048.695794,38.07862408,1
1.505535055,3.495652647,873.9131617,30.64864865,1
1.505535055,2.796522118,699.1305294,24.14742015,0
1.505535055,3.495652647,873.9131617,31.57739558,0
3.011070111,5.593044235,1398.261059,42.72235872,1
1.505535055,2.796522118,699.1305294,24.14742015,0
3.011070111,5.593044235,1398.261059,44.57985258,1
1.505535055,1.398261059,349.5652647,9.287469287,1
3.011070111,3.495652647,873.9131617,26.004914,0
1.505535055,8.389566353,2097.391588,88.23095823,0
1.505535055,1.398261059,349.5652647,9.287469287,0
3.011070111,4.194783176,1048.695794,32.50614251,0
1.505535055,7.690435823,1922.608956,81.72972973,0
1.505535055,2.097391588,524.347897,17.64619165,0
1.505535055,3.495652647,873.9131617,34.36363636,0
1.505535055,8.389566353,2097.391588,91.01719902,0
6.774907749,3.495652647,873.9131617,17.64619165,0
1.505535055,1.398261059,349.5652647,10.21621622,0
1.505535055,6.292174764,1573.043691,68.72727273,0
3.763837638,9.787827411,2446.956853,79.87223587,0
3.011070111,2.097391588,524.347897,14.85995086,0
3.011070111,2.097391588,524.347897,14.85995086,0
3.011070111,1.398261059,349.5652647,8.358722359,1
3.011070111,2.097391588,524.347897,14.85995086,1
4.516605166,2.097391588,524.347897,13.002457,0
1.505535055,1.398261059,349.5652647,10.21621622,0
1.505535055,1.398261059,349.5652647,10.21621622,1
1.505535055,1.398261059,349.5652647,10.21621622,0
1.505535055,4.893913706,1223.478426,53.86732187,1
3.011070111,4.194783176,1048.695794,36.22113022,0
3.011070111,7.690435823,1922.608956,72.44226044,0
1.505535055,0.6991305294,174.7826323,1.857493857,1
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,1
1.505535055,0.6991305294,174.7826323,1.857493857,1
1.505535055,0.6991305294,174.7826323,1.857493857,1
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
1.505535055,0.6991305294,174.7826323,1.857493857,0
8.280442804,6.991305294,1747.826323,32.50614251,0
8.280442804,2.796522118,699.1305294,14.85995086,1
3.011070111,3.495652647,873.9131617,30.64864865,1
3.011070111,4.194783176,1048.695794,38.07862408,1
1.505535055,2.097391588,524.347897,20.43243243,0
3.011070111,2.796522118,699.1305294,24.14742015,1
7.527675277,2.796522118,699.1305294,14.85995086,0
1.505535055,2.796522118,699.1305294,32.50614251,0
3.011070111,8.389566353,2097.391588,81.72972973,0
9.78597786,5.593044235,1398.261059,24.14742015,0
8.280442804,6.292174764,1573.043691,30.64864865,0
3.011070111,3.495652647,873.9131617,31.57739558,0
3.011070111,2.796522118,699.1305294,24.14742015,0
6.022140221,10.48695794,2621.739485,71.51351351,0
3.011070111,3.495652647,873.9131617,32.50614251,1
3.011070111,4.893913706,1223.478426,48.29484029,0
3.011070111,4.893913706,1223.478426,48.29484029,0
1.505535055,2.796522118,699.1305294,32.50614251,0
8.280442804,7.690435823,1922.608956,39.00737101,0
1.505535055,1.398261059,349.5652647,13.002457,0
