A,B,C,D,E,F,G,H,Gender
1.858108108,1.764705882,0.3982300885,0.3957853728,0.331203766,0.3159973667,0.341305431,1.071428571,M
3.074324324,3.067226891,0.5973451327,1.195324951,0.8591123067,0.9282422646,1.038863976,1.428571429,F
2.466216216,2.605042017,0.5530973451,0.9102178148,0.7212508406,0.7472021066,0.7648231191,1.607142857,M
1.722972973,1.680672269,0.3539823009,0.3594829113,0.2975790182,0.2567478604,0.2665670154,1.071428571,I
2.364864865,2.058823529,0.4203539823,0.618912697,0.4707464694,0.5069124424,0.5904334828,1.25,I
3.074324324,3.025210084,0.6637168142,1.373295555,0.7935440484,0.9282422646,1.6367713,3.392857143,F
3.175675676,3.109243697,0.5530973451,1.356472463,0.985205111,0.9809084924,1.287992028,2.678571429,F
2.702702703,2.647058824,0.5530973451,0.8987072782,0.7246133154,0.7373271889,0.8146487294,1.428571429,M
3.209459459,3.235294118,0.6637168142,1.580485213,1.054135844,0.9907834101,1.58694569,3.214285714,F
3.040540541,2.731092437,0.6194690265,1.070479901,0.6489576328,0.9677419355,1.038863976,2.321428571,F
2.398648649,2.478991597,0.4867256637,0.715424119,0.5598520511,0.5299539171,0.6651718984,1.607142857,M
2.804054054,2.731092437,0.5973451327,0.9553745352,0.7279757902,0.6221198157,0.9392127554,1.785714286,M
3.108108108,2.941176471,0.6415929204,1.20860634,0.9129119032,1.12244898,1.013951171,1.607142857,F
2.668918919,2.521008403,0.4424778761,0.8384983177,0.5598520511,0.5266622778,0.9142999502,1.607142857,F
2.871621622,2.899159664,0.5752212389,1.173189304,0.8641560188,0.8722843976,1.188340807,1.964285714,M
1.891891892,1.890756303,0.3761061947,0.5108907384,0.3160726295,0.2567478604,0.5655206776,1.071428571,I
2.466216216,2.394957983,0.4424778761,0.7951124491,0.6287827841,0.5694535879,0.6402590932,1.607142857,F
1.959459459,2.016806723,0.3539823009,0.4489109262,0.322797579,0.2797893351,0.4907822621,1.071428571,M
2.533783784,2.226890756,0.4424778761,0.6711528245,0.5699394755,0.4904542462,0.5655206776,1.428571429,M
1.891891892,1.890756303,0.4203539823,0.4312024084,0.3177538668,0.4048716261,0.3662182362,1.785714286,M
2.060810811,1.848739496,0.4424778761,0.3957853728,0.2656355077,0.3192890059,0.4160438465,1.607142857,I
3.310810811,3.235294118,0.685840708,1.660173543,1.434095494,1.405529954,1.337817638,1.964285714,F
3.209459459,3.025210084,0.5973451327,1.34850363,1.065904506,1.37919684,0.9890383657,1.428571429,F
3.648648649,3.571428571,0.7300884956,2.053302639,1.721587088,1.978275181,1.512207275,1.607142857,F
3.277027027,3.235294118,0.6194690265,1.640694174,1.282784129,1.234364714,1.487294469,1.785714286,F
3.412162162,3.319327731,0.8185840708,1.759341243,1.323133826,1.787360105,1.412556054,1.785714286,F
3.47972973,3.277310924,0.6194690265,1.645121303,1.193678547,1.537195523,1.387643249,1.964285714,M
3.581081081,3.529411765,0.796460177,1.654860988,1.321452589,1.438446346,1.462381664,2.5,M
3.378378378,3.109243697,0.6194690265,1.525588808,1.318090114,1.491112574,0.9890383657,1.785714286,M
