A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AI
0.7653799759,0.7653799759,-0.1441133957,0.68711226,-0.2670310192,-0.08026587888,-0.3921743458,0.4190031153,-0.01906045171,0.311291958,-0.4145113636,0.2106853147,-0.3862420029,-0.2863832602,-0.5403243421,0.05124378916,-0.5799708503,0.3085343909,-0.5848896435,-0.07691883701,-0.2649550085,-0.1528874896,-0.3025742996,-0.1721593065,-0.2533323256,-0.19516,-0.1754513953,-0.13464163,-0.08198006392,-0.1175709948,-0.0336680315,-0.07355779528,-0.01310204724,b
0.7653799759,0.7653799759,-0.02575503619,0.7385524372,0.003581979321,0.7385524372,-0.05054015576,0.3727661215,0.005019657321,0.4471800699,0.03271153846,0.5228155594,0.004582353801,0.3024852193,0.001656739766,0.7806780209,-0.1271449826,0.7038915465,-0.04994957555,0.4146107216,-0.1608563497,0.3673584258,-0.1021338558,0.4871129542,-0.3834930233,0.5624055814,-0.21115,0.3047822613,-0.1227968438,0.4273740312,-0.1294677165,0.3000834646,-0.2047388976,g
0.7653799759,0.7653799759,-0.3456532509,0.7385524372,0.7385524372,0.5259675037,-0.4190031153,1.03E-16,2.51E-32,0,0,0,-1.36E-16,-0.5540935673,0.08043222222,0.5040882944,-0.3665063153,-0.9318746892,-0.3185718421,-0.409276528,0.5848896435,0,-2.07E-16,0.846740638,0.8647662791,0.4921239535,0.9534883721,0.7071514183,-0.1421303636,0.1816106272,0.5354330709,-0.173383937,0.5354330709,b
0.7653799759,0.7653799759,-0.01837677322,0.6952732644,0.04823485968,0.6802511078,-0.09743917445,0.3232692835,-0.06871232087,0.3230646853,-0.1240603147,0.345159965,-0.003945146199,0.1905804825,-0.1521374708,0.4933344605,-0.2029623073,0.4203407161,-0.1041863922,0.03498809847,-0.2080744907,0.01955124133,-0.447747982,0.02782389736,-0.6212739535,0.1267186047,-0.5073130233,0.01719085098,-0.4398269676,-0.04035713144,-0.3189735433,-0.02467275591,-0.3517634646,g
0.7653799759,0.01788693004,-0.004531049457,-0.07329394387,-0.08824963072,-0.005635155096,-0.04954292835,0.06161859813,0.02780923676,0.02316608392,-0.03856118881,9.44E-18,-6.20E-18,-0.02533315789,-0.08610614035,-0.003196330184,-0.09501394331,-0.1078644953,-0.0316659253,0.01075027165,0.02145960102,0.01286199029,0.007519056865,0.02974599861,-0.01463604651,-0.03089302326,0.08794023256,-0.05557502996,0.005176348382,-1.27E-18,-5.11E-20,-0.0002088188976,0.06431086614,b
0.7653799759,0.7469190109,-0.08114558504,0.6986779911,-0.1536189069,0.6854209749,-0.1187873832,0.360325919,-0.1145638318,0.4880786713,-0.2932718531,0.4786494755,-0.2812800585,0.4135089474,-0.340412924,0.5399747887,-0.6344762009,0.3527332074,-0.4307185823,0.2124553141,-0.4478032088,0.2700933287,-0.675301061,0.1929891262,-0.7783706977,0.1302369767,-0.7867232558,0.03257139433,-0.5826574111,-0.03013879345,-0.4354034646,-0.07406110236,-0.4335669291,g
0,0,0,0,-1.81E-16,0.7385524372,-0.4190031153,1.03E-16,2.51E-32,-0.6118881119,-0.6118881119,1.50E-16,0,0,0,0.9318746892,0.9318746892,-0.9318746892,-0.5848896435,1.43E-16,3.51E-32,0,-2.07E-16,0.846740638,0.9534883721,0.9534883721,0.9534883721,0,-1.73E-16,0.7071514183,0.5354330709,-1.31E-16,-3.21E-32,b
0.7653799759,0.7374818758,-0.05509205066,0.7385524372,-0.1058567208,0.7385524372,-0.08930213396,0.4190031153,-0.1515701869,0.5664248252,-0.2665935315,0.5782954545,-0.2253387719,0.5008562573,-0.2569941374,0.9160794132,-0.3285510592,0.787778906,-0.3861441426,0.4406909508,-0.3543787861,0.5896447781,-0.5438191748,0.7206270874,-0.6239627907,0.54899,-0.664695814,0.1798639632,-0.4520041151,0.3190242909,-0.3896828346,0.2082566929,-0.3931149606,g
0.7653799759,-0.01426668275,-0.06474349216,0,0,0,1.18E-17,0.04805965732,-0.1123347352,-0.2794064685,-0.2335699301,5.72E-17,-4.57E-17,-0.186485731,0.2138911988,-0.3460330283,0.1399489408,0.5938651019,0.1293483447,-3.17E-17,-7.76E-33,0,3.07E-17,-0.1253430166,-0.01264325581,0.1968476744,-0.02187302326,0,-2.87E-17,0.1173517779,0.1289644094,-0.04394834646,0.2038125984,b
0.7653799759,0.7653799759,0.05093603739,0.7385524372,-0.1358050222,0.7385524372,-0.1144716511,0.4190031153,-0.1806196729,0.6118881119,-0.2530096154,0.5888321678,-0.2874304971,0.5026238158,-0.3270094006,0.8315117852,-0.6194543809,0.6511567578,-0.4152541002,0.4131952886,-0.4463877759,0.5341324619,-0.6819987795,0.4730485922,-0.8498251163,0.4501513953,-0.8247674419,0.2850032361,-0.5917089493,0.2191886536,-0.4770333858,0.1231228346,-0.4773814173,g
0.7653799759,0.7653799759,-0.4149124849,0.7385524372,-0.7385524372,0.7385524372,-0.4190031153,0.4190031153,0.1517503583,0.6118881119,-0.2516022727,0.6118881119,0.5540935673,0.5540935673,-0.5540935673,0.9318746892,-0.2735424963,0.9318746892,-0.5474508574,0.5848896435,0.5848896435,0.846740638,0.846740638,0.846740638,-0.3898623256,0.9534883721,-0.5982662791,0.7071514183,-0.7071514183,0.7071514183,-0.5354330709,0.5354330709,-0.5354330709,b
0.7653799759,0.7653799759,-0.1248793969,0.7385524372,-0.07510339734,0.7385450517,-0.06367590343,0.4190031153,-0.08077123053,0.5755113636,-0.2150847902,0.5857910839,-0.165036769,0.5192909503,-0.1906746784,0.8804911188,-0.2619127001,0.8399638886,-0.253742674,0.5032565959,-0.2766995925,0.7026846533,-0.4337005548,0.7119395284,-0.449445814,0.7267869767,-0.5565511628,0.4647611266,-0.4864777467,0.4859120256,-0.3455524409,0.3465697638,-0.3599502362,g
0.7653799759,0.7653799759,-0.6635920929,0.7385524372,0.164549483,0.6314032496,-0.1671654829,0.4190031153,-0.05065747664,0.6118881119,0.2150603147,0.6118881119,0.04306415205,0.5540935673,-0.08182299708,0.9318746892,-0.9318746892,0.9318746892,-0.5848896435,0.3616431154,0.09243011036,0.846740638,0.5279343204,0.846740638,-0.1622074419,0.9534883721,0.3425311628,0.7071514183,-0.4702132641,0.7071514183,0.4734727559,0.5354330709,-0.1008006299,b
0.7653799759,0.7653799759,0.05648504222,0.7385524372,0.02525849335,0.7385524372,-0.0233091433,0.4190031153,0.03672143302,0.6118881119,0.1202421329,0.6118881119,0.1126361404,0.5540935673,0.07084086257,0.9318746892,0.09841528593,0.9318746892,0.1584290577,0.5848896435,0.2617849066,0.846740638,0.3535142164,0.846740638,0.1910123256,0.9534883721,0.3503402326,0.6760579704,0.3439655214,0.7071514183,0.1739729134,0.5354330709,0.2501114961,g
0.7653799759,0.3898233293,-0.7194265621,0.7385524372,0.1972525849,-0.02599704579,-0.4190031153,0.4190031153,-0.4190031153,0.2673033217,-0.6118881119,1.50E-16,-1.36E-16,-0.5540935673,-0.1898601608,-0.3511397016,0.03376181999,0.9318746892,-0.5848896435,1.43E-16,3.51E-32,0,3.37E-17,-0.1376207559,0.8794595349,0.3790306977,0.2526839535,0,-1.73E-16,0.7071514183,0.1241562205,-3.04E-17,-7.45E-33,b
0.7653799759,0.762662877,0.04950477684,0.7385524372,-0.009128508124,0.7223855244,0.01046669782,0.4027122741,0.009687352025,0.6074458042,0.04777622378,0.5465568182,0.05732652047,0.5220226316,0.02919519006,0.8275885927,0.1036244654,0.8023813824,0.05048182513,0.4774629626,0.06919244482,0.708450957,0.1222862829,0.6886456935,0.1278818605,0.7577944186,0.1300367442,0.559427487,0.1087528166,0.5453693168,0.08529448819,0.3798415748,0.06433228346,g
0,0,0,-0.7385524372,-0.7385524372,0.7385524372,0.4190031153,-0.4190031153,0.4190031153,-0.6118881119,0.6118881119,0.6118881119,-0.5540935673,0.5540935673,0.5540935673,-0.9318746892,-0.9318746892,-0.9318746892,0.5848896435,0.5848896435,-0.5848896435,-0.846740638,0.846740638,-0.846740638,0.9534883721,0.9534883721,-0.9534883721,-0.7071514183,0.7071514183,-0.7071514183,-0.5354330709,0.5354330709,-0.5354330709,b
